Sentence ##sep#Word#sep#POS#sep#Tag
#sep#Ventricular#sep#pos#sep#B-Multi-tissue_structure
#sep#fibrillation#sep#pos#sep#O
#sep#due#sep#pos#sep#O
#sep#to#sep#pos#sep#O
#sep#long#sep#pos#sep#O
#sep#QT#sep#pos#sep#O
#sep#syndrome#sep#pos#sep#O
#sep#probably#sep#pos#sep#O
#sep#caused#sep#pos#sep#O
#sep#by#sep#pos#sep#O
#sep#clindamycin#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 1#sep#Prolongation#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#QT#sep#pos#sep#O
#sep#time#sep#pos#sep#O
#sep#interval#sep#pos#sep#O
#sep#may#sep#pos#sep#O
#sep#be#sep#pos#sep#O
#sep#provoked#sep#pos#sep#O
#sep#by#sep#pos#sep#O
#sep#a#sep#pos#sep#O
#sep#limited#sep#pos#sep#O
#sep#number#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#drugs#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#especially#sep#pos#sep#O
#sep#macrolide#sep#pos#sep#O
#sep#antibiotics#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 2#sep#We#sep#pos#sep#O
#sep#describe#sep#pos#sep#O
#sep#a#sep#pos#sep#O
#sep#case#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#QT#sep#pos#sep#O
#sep#time#sep#pos#sep#O
#sep#interval#sep#pos#sep#O
#sep#prolongation#sep#pos#sep#O
#sep#induced#sep#pos#sep#O
#sep#by#sep#pos#sep#O
#sep#clindamycin#sep#pos#sep#O
#sep#with#sep#pos#sep#O
#sep#subsequent#sep#pos#sep#O
#sep#repeated#sep#pos#sep#O
#sep#ventricular#sep#pos#sep#B-Multi-tissue_structure
#sep#fibrillation#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#resuscitation#sep#pos#sep#O
#sep#;#sep#pos#sep#O
#sep#there#sep#pos#sep#O
