Sentence ##sep#Word#sep#POS#sep#Tag
Sentence: 1#sep#The#sep#pos#sep#B-object
#sep#back#sep#pos#sep#I-object
#sep#of#sep#pos#sep#I-object
#sep#my#sep#pos#sep#I-object
#sep#jersey#sep#pos#sep#I-object
#sep#says#sep#pos#sep#O
#sep#"#sep#pos#sep#B-abstract
#sep#The#sep#pos#sep#I-abstract
#sep#Poet#sep#pos#sep#I-abstract
#sep#'#sep#pos#sep#I-abstract
#sep#because#sep#pos#sep#O
#sep#growing#sep#pos#sep#O
#sep#up#sep#pos#sep#O
#sep#that#sep#pos#sep#B-abstract
#sep#was#sep#pos#sep#O
#sep#my#sep#pos#sep#B-person
#sep#nickname#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 2#sep#These#sep#pos#sep#B-place
#sep#hotels#sep#pos#sep#I-place
#sep#may#sep#pos#sep#O
#sep#not#sep#pos#sep#O
#sep#be#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#most#sep#pos#sep#O
#sep#luxerious#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#but#sep#pos#sep#O
#sep#they#sep#pos#sep#O
#sep#do#sep#pos#sep#O
#sep#provide#sep#pos#sep#O
#sep#air-conditionting#sep#pos#sep#B-abstract
#sep#,#sep#pos#sep#O
#sep#televisions#sep#pos#sep#B-object
#sep#,#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#refrigerators#sep#pos#sep#B-object
#sep#in#sep#pos#sep#O
#sep#all#sep#pos#sep#B-place
#sep#of#sep#pos#sep#I-place
#sep#the#sep#pos#sep#I-place
#sep#rooms#sep#pos#sep#I-place
#sep#.#sep#pos#sep#O
Sentence: 3#sep#Henga#sep#pos#sep#B-place
#sep#Scenic#sep#pos#sep#I-place
#sep#Reserve#sep#pos#sep#I-place
#sep#.#sep#pos#sep#O
Sentence: 4#sep#It#sep#pos#sep#B-abstract
#sep#costs#sep#pos#sep#O
#sep#us#sep#pos#sep#B-organization
#sep#so#sep#pos#sep#O
#sep#much#sep#pos#sep#O
#sep#money#sep#pos#sep#O
#sep#to#sep#pos#sep#O
#sep#for#sep#pos#sep#B-abstract
#sep#us#sep#pos#sep#I-abstract
#sep#to#sep#pos#sep#I-abstract
#sep#travel#sep#pos#sep#I-abstract
#sep#overseas#sep#pos#sep#I-abstract
#sep#and#sep#pos#sep#I-abstract
#sep#to#sep#pos#sep#I-abstract
#sep#compete#sep#pos#sep#I-abstract
#sep#internationally#sep#pos#sep#I-abstract
#sep#.#sep#pos#sep#O
Sentence: 5#sep#Tulsa#sep#pos#sep#B-place
#sep#has#sep#pos#sep#O
#sep#over#sep#pos#sep#B-quantity
#sep#225#sep#pos#sep#I-quantity
#sep#days#sep#pos#sep#I-quantity
#sep#of#sep#pos#sep#I-quantity
#sep#sunshine#sep#pos#sep#I-quantity
#sep#annually#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 6#sep#In#sep#pos#sep#O
#sep#those#sep#pos#sep#O
#sep#days#sep#pos#sep#O
#sep#it#sep#pos#sep#O
#sep#was#sep#pos#sep#O
#sep#all#sep#pos#sep#B-abstract
#sep#or#sep#pos#sep#I-abstract
#sep#nothing#sep#pos#sep#I-abstract
#sep#.#sep#pos#sep#O
Sentence: 7#sep#Coffee#sep#pos#sep#B-object
#sep#filter#sep#pos#sep#I-object
#sep#,#sep#pos#sep#O
#sep#cheesecloth#sep#pos#sep#B-object
#sep#/#sep#pos#sep#O
#sep#muslin#sep#pos#sep#B-object
#sep#,#sep#pos#sep#O
#sep#or#sep#pos#sep#O
#sep#an#sep#pos#sep#B-object
#sep#extremely#sep#pos#sep#I-object
#sep#clean#sep#pos#sep#I-object
#sep#T-shirt#sep#pos#sep#I-object
Sentence: 8#sep#At#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#moment#sep#pos#sep#O
#sep#Shalev#sep#pos#sep#B-person
#sep#is#sep#pos#sep#O
#sep#in#sep#pos#sep#O
#sep#Levico#sep#pos#sep#B-place
#sep#Terme#sep#pos#sep#I-place
#sep#,#sep#pos#sep#I-place
#sep#Trento#sep#pos#sep#I-place
#sep#,#sep#pos#sep#I-place
#sep#Italy#sep#pos#sep#I-place
#sep#for#sep#pos#sep#O
#sep#a#sep#pos#sep#B-event
#sep#conference#sep#pos#sep#I-event
#sep#.#sep#pos#sep#O
Sentence: 9#sep#The#sep#pos#sep#B-abstract
#sep#big#sep#pos#sep#I-abstract
#sep#hit#sep#pos#sep#I-abstract
#sep#of#sep#pos#sep#I-abstract
#sep#the#sep#pos#sep#I-abstract
#sep#evening#sep#pos#sep#I-abstract
#sep#,#sep#pos#sep#O
#sep#Wikinews#sep#pos#sep#B-organization
#sep#observed#sep#pos#sep#O
#sep#from#sep#pos#sep#O
#sep#the#sep#pos#sep#B-place
#sep#long#sep#pos#sep#I-place
#sep#line#sep#pos#sep#I-place
#sep#,#sep#pos#sep#O
#sep#was#sep#pos#sep#O
#sep#the#sep#pos#sep#B-place
#sep#Polaroid-room#sep#pos#sep#I-place
#sep#where#sep#pos#sep#O
#sep#attendees#sep#pos#sep#B-person
#sep#could#sep#pos#sep#O
#sep#wear#sep#pos#sep#O
#sep#a#sep#pos#sep#B-object
#sep#Warhol-like#sep#pos#sep#I-object
#sep#wig#sep#pos#sep#I-object
#sep#or#sep#pos#sep#O
#sep#don#sep#pos#sep#O
#sep#crazy#sep#pos#sep#B-object
