Sentence ##sep#Word#sep#POS#sep#Tag
Sentence: 1#sep#what#sep#pos#sep#O
#sep#movies#sep#pos#sep#O
#sep#star#sep#pos#sep#O
#sep#bruce#sep#pos#sep#B-ACTOR
#sep#willis#sep#pos#sep#I-ACTOR
Sentence: 2#sep#show#sep#pos#sep#O
#sep#me#sep#pos#sep#O
#sep#films#sep#pos#sep#O
#sep#with#sep#pos#sep#O
#sep#drew#sep#pos#sep#B-ACTOR
#sep#barrymore#sep#pos#sep#I-ACTOR
#sep#from#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#1980s#sep#pos#sep#B-YEAR
Sentence: 3#sep#what#sep#pos#sep#O
#sep#movies#sep#pos#sep#O
#sep#starred#sep#pos#sep#O
#sep#both#sep#pos#sep#O
#sep#al#sep#pos#sep#B-ACTOR
#sep#pacino#sep#pos#sep#I-ACTOR
#sep#and#sep#pos#sep#O
#sep#robert#sep#pos#sep#B-ACTOR
#sep#deniro#sep#pos#sep#I-ACTOR
Sentence: 4#sep#find#sep#pos#sep#O
#sep#me#sep#pos#sep#O
#sep#all#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#movies#sep#pos#sep#O
#sep#that#sep#pos#sep#O
#sep#starred#sep#pos#sep#O
#sep#harold#sep#pos#sep#B-ACTOR
#sep#ramis#sep#pos#sep#I-ACTOR
#sep#and#sep#pos#sep#O
#sep#bill#sep#pos#sep#B-ACTOR
#sep#murray#sep#pos#sep#I-ACTOR
Sentence: 5#sep#find#sep#pos#sep#O
#sep#me#sep#pos#sep#O
#sep#a#sep#pos#sep#O
#sep#movie#sep#pos#sep#O
#sep#with#sep#pos#sep#O
#sep#a#sep#pos#sep#O
#sep#quote#sep#pos#sep#O
#sep#about#sep#pos#sep#O
#sep#baseball#sep#pos#sep#O
#sep#in#sep#pos#sep#O
#sep#it#sep#pos#sep#O
Sentence: 6#sep#what#sep#pos#sep#O
#sep#movies#sep#pos#sep#O
#sep#have#sep#pos#sep#O
#sep#mississippi#sep#pos#sep#B-TITLE
#sep#in#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#title#sep#pos#sep#O
Sentence: 7#sep#show#sep#pos#sep#O
#sep#me#sep#pos#sep#O
#sep#science#sep#pos#sep#B-GENRE
#sep#fiction#sep#pos#sep#I-GENRE
#sep#films#sep#pos#sep#I-GENRE
#sep#directed#sep#pos#sep#O
#sep#by#sep#pos#sep#O
#sep#steven#sep#pos#sep#B-DIRECTOR
#sep#spielberg#sep#pos#sep#I-DIRECTOR
Sentence: 8#sep#do#sep#pos#sep#O
#sep#you#sep#pos#sep#O
#sep#have#sep#pos#sep#O
#sep#any#sep#pos#sep#O
#sep#thrillers#sep#pos#sep#B-GENRE
#sep#directed#sep#pos#sep#O
#sep#by#sep#pos#sep#O
#sep#sofia#sep#pos#sep#B-DIRECTOR
#sep#coppola#sep#pos#sep#I-DIRECTOR
Sentence: 9#sep#what#sep#pos#sep#O
#sep#leonard#sep#pos#sep#B-SONG
#sep#cohen#sep#pos#sep#I-SONG
#sep#songs#sep#pos#sep#I-SONG
#sep#have#sep#pos#sep#O
#sep#been#sep#pos#sep#O
#sep#used#sep#pos#sep#O
#sep#in#sep#pos#sep#O
#sep#a#sep#pos#sep#O
#sep#movie#sep#pos#sep#O
