Sentence ##sep#Word#sep#POS#sep#Tag
Sentence: 1#sep#2#sep#pos#sep#B-Rating
#sep#start#sep#pos#sep#I-Rating
#sep#restaurants#sep#pos#sep#O
#sep#with#sep#pos#sep#O
#sep#inside#sep#pos#sep#B-Amenity
#sep#dining#sep#pos#sep#I-Amenity
Sentence: 2#sep#34#sep#pos#sep#O
Sentence: 3#sep#5#sep#pos#sep#B-Rating
#sep#star#sep#pos#sep#I-Rating
#sep#resturants#sep#pos#sep#O
#sep#in#sep#pos#sep#B-Location
#sep#my#sep#pos#sep#I-Location
#sep#town#sep#pos#sep#I-Location
Sentence: 4#sep#98#sep#pos#sep#O
#sep#hong#sep#pos#sep#B-Restaurant_Name
#sep#kong#sep#pos#sep#I-Restaurant_Name
#sep#restaurant#sep#pos#sep#O
#sep#reasonable#sep#pos#sep#B-Price
#sep#prices#sep#pos#sep#O
Sentence: 5#sep#a#sep#pos#sep#O
#sep#great#sep#pos#sep#O
#sep#lunch#sep#pos#sep#O
#sep#spot#sep#pos#sep#O
#sep#but#sep#pos#sep#O
#sep#open#sep#pos#sep#B-Hours
#sep#till#sep#pos#sep#I-Hours
#sep#2#sep#pos#sep#I-Hours
#sep#a#sep#pos#sep#I-Hours
#sep#m#sep#pos#sep#I-Hours
#sep#passims#sep#pos#sep#B-Restaurant_Name
#sep#kitchen#sep#pos#sep#I-Restaurant_Name
Sentence: 6#sep#a#sep#pos#sep#O
#sep#place#sep#pos#sep#O
#sep#that#sep#pos#sep#O
#sep#serves#sep#pos#sep#O
#sep#soft#sep#pos#sep#B-Dish
#sep#serve#sep#pos#sep#I-Dish
#sep#ice#sep#pos#sep#I-Dish
#sep#cream#sep#pos#sep#I-Dish
Sentence: 7#sep#a#sep#pos#sep#O
#sep#restaurant#sep#pos#sep#O
#sep#that#sep#pos#sep#O
#sep#is#sep#pos#sep#O
#sep#good#sep#pos#sep#B-Rating
#sep#for#sep#pos#sep#B-Amenity
#sep#groups#sep#pos#sep#I-Amenity
Sentence: 8#sep#a#sep#pos#sep#O
#sep#salad#sep#pos#sep#B-Dish
#sep#would#sep#pos#sep#O
#sep#make#sep#pos#sep#O
#sep#my#sep#pos#sep#O
#sep#day#sep#pos#sep#O
Sentence: 9#sep#a#sep#pos#sep#O
#sep#smoothie#sep#pos#sep#B-Cuisine
#sep#would#sep#pos#sep#O
#sep#hit#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#spot#sep#pos#sep#O
Sentence: 10#sep#a#sep#pos#sep#O
#sep#steak#sep#pos#sep#B-Dish
#sep#would#sep#pos#sep#O
#sep#be#sep#pos#sep#O
#sep#nice#sep#pos#sep#O
Sentence: 11#sep#a#sep#pos#sep#O
#sep#sub#sep#pos#sep#B-Dish
#sep#place#sep#pos#sep#O
#sep#near#sep#pos#sep#B-Location
#sep#independence#sep#pos#sep#I-Location
#sep#boulevard#sep#pos#sep#I-Location
Sentence: 12#sep#about#sep#pos#sep#O
#sep#how#sep#pos#sep#O
#sep#much#sep#pos#sep#O
#sep#is#sep#pos#sep#O
#sep#a#sep#pos#sep#O
#sep#midpriced#sep#pos#sep#B-Price
#sep#bottle#sep#pos#sep#B-Rating
#sep#of#sep#pos#sep#O
#sep#good#sep#pos#sep#B-Rating
#sep#wine#sep#pos#sep#B-Cuisine
#sep#at#sep#pos#sep#O
#sep#davidos#sep#pos#sep#B-Restaurant_Name
#sep#italian#sep#pos#sep#I-Restaurant_Name
#sep#palace#sep#pos#sep#I-Restaurant_Name
Sentence: 13#sep#about#sep#pos#sep#O
#sep#how#sep#pos#sep#O
#sep#much#sep#pos#sep#O
#sep#will#sep#pos#sep#O
#sep#it#sep#pos#sep#O
#sep#cost#sep#pos#sep#B-Price
#sep#to#sep#pos#sep#O
#sep#eat#sep#pos#sep#O
#sep#at#sep#pos#sep#O
#sep#johns#sep#pos#sep#B-Restaurant_Name
#sep#pizza#sep#pos#sep#I-Restaurant_Name
#sep#cafe#sep#pos#sep#I-Restaurant_Name
#sep#for#sep#pos#sep#O
#sep#dinner#sep#pos#sep#B-Hours
#sep#per#sep#pos#sep#B-Price
#sep#person#sep#pos#sep#I-Price
Sentence: 14#sep#adress#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#nearest#sep#pos#sep#B-Location
#sep#cracker#sep#pos#sep#B-Restaurant_Name
#sep#barrel#sep#pos#sep#I-Restaurant_Name
Sentence: 15#sep#after#sep#pos#sep#B-Hours
#sep#hour#sep#pos#sep#I-Hours
#sep#dining#sep#pos#sep#I-Hours
Sentence: 16#sep#all#sep#pos#sep#O
#sep#i#sep#pos#sep#O
#sep#want#sep#pos#sep#O
#sep#is#sep#pos#sep#O
#sep#a#sep#pos#sep#O
#sep#bagel#sep#pos#sep#B-Dish
#sep#and#sep#pos#sep#I-Dish
#sep#coffee#sep#pos#sep#I-Dish
#sep#can#sep#pos#sep#O
#sep#you#sep#pos#sep#O
#sep#direct#sep#pos#sep#O
#sep#me#sep#pos#sep#O
Sentence: 17#sep#all#sep#pos#sep#O
#sep#i#sep#pos#sep#O
#sep#want#sep#pos#sep#O
#sep#is#sep#pos#sep#O
#sep#salmon#sep#pos#sep#B-Dish
Sentence: 18#sep#all#sep#pos#sep#O
#sep#i#sep#pos#sep#O
#sep#want#sep#pos#sep#O
#sep#is#sep#pos#sep#O
#sep#some#sep#pos#sep#O
#sep#fresh#sep#pos#sep#B-Dish
#sep#fruits#sep#pos#sep#I-Dish
#sep#where#sep#pos#sep#O
#sep#is#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#nearest#sep#pos#sep#B-Location
#sep#supermarket#sep#pos#sep#I-Location
Sentence: 19#sep#all#sep#pos#sep#O
