Sentence ##sep#Word#sep#POS#sep#Tag
Sentence: 1#sep#This#sep#DT#sep#O
#sep#LOAN#sep#NN#sep#O
#sep#AND#sep#CC#sep#O
#sep#SECURITY#sep#NNP#sep#O
#sep#AGREEMENT#sep#NNP#sep#O
#sep#dated#sep#VBD#sep#O
#sep#January#sep#NNP#sep#O
#sep#27#sep#CD#sep#O
#sep#,#sep#,#sep#O
#sep#1999#sep#CD#sep#O
#sep#,#sep#,#sep#O
#sep#between#sep#IN#sep#O
#sep#SILICON#sep#NNP#sep#I-ORG
#sep#VALLEY#sep#NNP#sep#I-ORG
#sep#BANK#sep#NNP#sep#I-ORG
#sep#("#sep#NNP#sep#O
#sep#Bank#sep#NNP#sep#I-ORG
#sep#"),#sep#,#sep#O
#sep#a#sep#DT#sep#O
#sep#California#sep#NNP#sep#I-LOC
#sep#-#sep#:#sep#O
#sep#chartered#sep#VBD#sep#O
#sep#bank#sep#NN#sep#I-ORG
#sep#with#sep#IN#sep#O
#sep#its#sep#PRP$#sep#O
#sep#principal#sep#JJ#sep#O
#sep#place#sep#NN#sep#O
#sep#of#sep#IN#sep#O
#sep#business#sep#NN#sep#O
#sep#at#sep#IN#sep#O
#sep#3003#sep#CD#sep#I-LOC
#sep#Tasman#sep#NNP#sep#I-LOC
#sep#Drive#sep#NNP#sep#I-LOC
#sep#,#sep#,#sep#O
#sep#Santa#sep#NNP#sep#I-LOC
#sep#Clara#sep#NNP#sep#I-LOC
#sep#,#sep#,#sep#O
#sep#California#sep#NNP#sep#I-LOC
#sep#95054#sep#CD#sep#O
#sep#with#sep#IN#sep#O
#sep#a#sep#DT#sep#O
#sep#loan#sep#NN#sep#O
#sep#production#sep#NN#sep#O
#sep#office#sep#NN#sep#O
#sep#located#sep#VBD#sep#O
#sep#at#sep#IN#sep#O
#sep#40#sep#CD#sep#I-LOC
#sep#William#sep#NNP#sep#I-LOC
#sep#St#sep#NNP#sep#I-LOC
#sep#.,#sep#,#sep#O
#sep#Ste#sep#NNP#sep#O
#sep#.#sep#.#sep#O
Sentence: 2#sep#350#sep#CD#sep#O
#sep#,#sep#,#sep#O
#sep#Wellesley#sep#NNP#sep#I-LOC
#sep#,#sep#,#sep#O
#sep#Massachusetts#sep#NNP#sep#I-LOC
#sep#02481#sep#CD#sep#O
#sep#doing#sep#VBG#sep#O
#sep#business#sep#NN#sep#O
#sep#as#sep#IN#sep#O
#sep#"#sep#NN#sep#O
#sep#Silicon#sep#NNP#sep#I-LOC
#sep#Valley#sep#NNP#sep#I-LOC
#sep#East#sep#NNP#sep#I-LOC
#sep#"#sep#NNP#sep#O
#sep#and#sep#CC#sep#O
#sep#AKAMAI#sep#NNP#sep#I-ORG
#sep#TECHNOLOGIES#sep#NNPS#sep#I-ORG
#sep#,#sep#,#sep#O
#sep#INC#sep#NNP#sep#O
#sep#.#sep#.#sep#O
#sep#("#sep#:#sep#O
#sep#Borrower#sep#NNP#sep#I-PER
#sep#"),#sep#,#sep#O
#sep#whose#sep#WP$#sep#O
#sep#address#sep#NN#sep#O
#sep#is#sep#VBZ#sep#O
#sep#201#sep#CD#sep#I-LOC
#sep#Broadway#sep#NNP#sep#I-LOC
#sep#,#sep#,#sep#O
#sep#4th#sep#JJ#sep#O
#sep#Floor#sep#NNP#sep#O
#sep#,#sep#,#sep#O
#sep#Cambridge#sep#NNP#sep#I-LOC
#sep#,#sep#,#sep#O
#sep#Massachusetts#sep#NNP#sep#I-LOC
#sep#02139#sep#CD#sep#O
#sep#provides#sep#VBZ#sep#O
#sep#the#sep#DT#sep#O
#sep#terms#sep#NNS#sep#O
#sep#on#sep#IN#sep#O
#sep#which#sep#WDT#sep#O
#sep#Bank#sep#NNP#sep#I-ORG
#sep#will#sep#MD#sep#O
#sep#lend#sep#VB#sep#O
#sep#to#sep#TO#sep#O
#sep#Borrower#sep#NNP#sep#I-PER
#sep#and#sep#CC#sep#O
#sep#Borrower#sep#NNP#sep#I-PER
#sep#will#sep#MD#sep#O
#sep#repay#sep#VB#sep#O
#sep#Bank#sep#NNP#sep#I-ORG
#sep#.#sep#.#sep#O
Sentence: 3#sep#The#sep#DT#sep#O
#sep#parties#sep#NNS#sep#O
#sep#agree#sep#VBP#sep#O
#sep#as#sep#RB#sep#O
#sep#follows#sep#VBZ#sep#O
#sep#:#sep#:#sep#O
Sentence: 4#sep#1#sep#LS#sep#O
#sep#ACCOUNTING#sep#NNP#sep#O
#sep#AND#sep#NNP#sep#O
#sep#OTHER#sep#NNP#sep#O
#sep#TERMS#sep#NNP#sep#O
