Sentence ##sep#Word#sep#POS#sep#Tag
Sentence: 1#sep#Operation#sep#pos#sep#O

#sep#Steel#sep#pos#sep#O

#sep#Curtain#sep#pos#sep#O

#sep#(#sep#pos#sep#O

#sep#Arabic#sep#pos#sep#O

#sep#:#sep#pos#sep#O

#sep#Al#sep#pos#sep#O

#sep#Hejab#sep#pos#sep#O

#sep#Elfulathi#sep#pos#sep#O

#sep#)#sep#pos#sep#O

#sep#was#sep#pos#sep#O

#sep#a#sep#pos#sep#O

#sep#military#sep#pos#sep#O

#sep#operation#sep#pos#sep#O

#sep#executed#sep#pos#sep#O

#sep#by#sep#pos#sep#O

#sep#coalition#sep#pos#sep#B-Organisation

#sep#forces#sep#pos#sep#I-Organisation

#sep#in#sep#pos#sep#O

#sep#early#sep#pos#sep#B-Temporal

#sep#November#sep#pos#sep#I-Temporal

#sep#2005#sep#pos#sep#I-Temporal

#sep#to#sep#pos#sep#O

#sep#reduce#sep#pos#sep#O

#sep#the#sep#pos#sep#O

#sep#flow#sep#pos#sep#O

#sep#of#sep#pos#sep#O

#sep#foreign#sep#pos#sep#B-Organisation

#sep#insurgents#sep#pos#sep#I-Organisation

#sep#crossing#sep#pos#sep#O

#sep#the#sep#pos#sep#O

#sep#border#sep#pos#sep#O

#sep#and#sep#pos#sep#O

#sep#joining#sep#pos#sep#O

#sep#the#sep#pos#sep#O

#sep#Iraqi#sep#pos#sep#B-Nationality

#sep#insurgency#sep#pos#sep#O

#sep#.#sep#pos#sep#O

Sentence: 2#sep#The#sep#pos#sep#B-Location

#sep#hospital#sep#pos#sep#I-Location

#sep#has#sep#pos#sep#O

#sep#facilities#sep#pos#sep#O

#sep#for#sep#pos#sep#O

#sep#MRI#sep#pos#sep#O

#sep#and#sep#pos#sep#O

#sep#CT#sep#pos#sep#O

#sep#scan#sep#pos#sep#O

#sep#,#sep#pos#sep#O

#sep#a#sep#pos#sep#O

#sep#gamma#sep#pos#sep#O

#sep#camera#sep#pos#sep#O

#sep#and#sep#pos#sep#O

#sep#lithotripsy#sep#pos#sep#O

#sep#device#sep#pos#sep#O

#sep#.#sep#pos#sep#O

Sentence: 3#sep#The#sep#pos#sep#O

#sep#operation#sep#pos#sep#O

#sep#was#sep#pos#sep#O

#sep#important#sep#pos#sep#O

#sep#in#sep#pos#sep#O

#sep#that#sep#pos#sep#O

#sep#it#sep#pos#sep#O

#sep#was#sep#pos#sep#O

#sep#the#sep#pos#sep#O

#sep#first#sep#pos#sep#O

#sep#large#sep#pos#sep#O

#sep#scale#sep#pos#sep#O

#sep#deployment#sep#pos#sep#O

#sep#of#sep#pos#sep#O

#sep#the#sep#pos#sep#B-Organisation

#sep#New#sep#pos#sep#I-Organisation

#sep#Iraqi#sep#pos#sep#I-Organisation

#sep#Army#sep#pos#sep#I-Organisation

#sep#.#sep#pos#sep#O

Sentence: 4#sep#This#sep#pos#sep#O

#sep#was#sep#pos#sep#O

#sep#my#sep#pos#sep#B-Person

#sep#first#sep#pos#sep#O

#sep#visit#sep#pos#sep#O

#sep#to#sep#pos#sep#O

#sep#Uzbekistan#sep#pos#sep#B-Location

#sep#and#sep#pos#sep#O

#sep#an#sep#pos#sep#O

#sep#important#sep#pos#sep#O

#sep#opportunity#sep#pos#sep#O

#sep#to#sep#pos#sep#O

#sep#deepen#sep#pos#sep#O

#sep#and#sep#pos#sep#O

#sep#strengthen#sep#pos#sep#O

#sep#bilateral#sep#pos#sep#O

#sep#relations#sep#pos#sep#O

#sep#between#sep#pos#sep#O

#sep#the#sep#pos#sep#O

#sep#UK#sep#pos#sep#O

#sep#and#sep#pos#sep#O

#sep#Uzbekistan#sep#pos#sep#O

#sep#on#sep#pos#sep#O

#sep#a#sep#pos#sep#O

#sep#number#sep#pos#sep#O

#sep#of#sep#pos#sep#O

#sep#issues#sep#pos#sep#O

#sep#important#sep#pos#sep#O

#sep#to#sep#pos#sep#O

#sep#us#sep#pos#sep#O

#sep#both#sep#pos#sep#O

#sep#.#sep#pos#sep#O

Sentence: 5#sep#The#sep#pos#sep#B-Organisation

#sep#group#sep#pos#sep#I-Organisation

#sep#was#sep#pos#sep#O

#sep#founded#sep#pos#sep#O

#sep#by#sep#pos#sep#O

#sep#Sheikh#sep#pos#sep#B-Person

