Sentence ##sep#Word#sep#POS#sep#Tag
Sentence: 1#sep#010#sep#pos#sep#I-MISC
#sep#is#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#tenth#sep#pos#sep#O
#sep#album#sep#pos#sep#O
#sep#from#sep#pos#sep#O
#sep#Japanese#sep#pos#sep#I-MISC
#sep#Punk#sep#pos#sep#O
#sep#Techno#sep#pos#sep#O
#sep#band#sep#pos#sep#O
#sep#The#sep#pos#sep#I-ORG
#sep#Mad#sep#pos#sep#I-ORG
#sep#Capsule#sep#pos#sep#I-ORG
#sep#Markets#sep#pos#sep#I-ORG
#sep#.#sep#pos#sep#O
Sentence: 2#sep#This#sep#pos#sep#O
#sep#album#sep#pos#sep#O
#sep#proved#sep#pos#sep#O
#sep#to#sep#pos#sep#O
#sep#be#sep#pos#sep#O
#sep#more#sep#pos#sep#O
#sep#commercial#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#more#sep#pos#sep#O
#sep#techno-based#sep#pos#sep#O
#sep#than#sep#pos#sep#O
#sep#Osc-Dis#sep#pos#sep#I-MISC
#sep#,#sep#pos#sep#O
#sep#with#sep#pos#sep#O
#sep#heavily#sep#pos#sep#O
#sep#synthesized#sep#pos#sep#O
#sep#songs#sep#pos#sep#O
#sep#like#sep#pos#sep#O
#sep#Introduction#sep#pos#sep#I-MISC
#sep#010#sep#pos#sep#I-MISC
#sep#and#sep#pos#sep#O
#sep#Come#sep#pos#sep#I-MISC
#sep#.#sep#pos#sep#O
Sentence: 3#sep#Founding#sep#pos#sep#O
#sep#member#sep#pos#sep#O
#sep#Kojima#sep#pos#sep#I-PER
#sep#Minoru#sep#pos#sep#I-PER
#sep#played#sep#pos#sep#O
#sep#guitar#sep#pos#sep#O
#sep#on#sep#pos#sep#O
#sep#Good#sep#pos#sep#I-MISC
#sep#Day#sep#pos#sep#I-MISC
#sep#,#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#Wardanceis#sep#pos#sep#I-MISC
#sep#cover#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#a#sep#pos#sep#O
#sep#song#sep#pos#sep#O
#sep#by#sep#pos#sep#O
#sep#UK#sep#pos#sep#I-LOC
#sep#post#sep#pos#sep#O
#sep#punk#sep#pos#sep#O
#sep#industrial#sep#pos#sep#O
#sep#band#sep#pos#sep#O
#sep#Killing#sep#pos#sep#I-ORG
#sep#Joke#sep#pos#sep#I-ORG
#sep#.#sep#pos#sep#O
Sentence: 4#sep#XXX#sep#pos#sep#I-MISC
#sep#can#sep#pos#sep#I-MISC
#sep#of#sep#pos#sep#I-MISC
#sep#This#sep#pos#sep#I-MISC
#sep#had#sep#pos#sep#O
#sep#a#sep#pos#sep#O
#sep#different#sep#pos#sep#O
#sep#meaning#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#most#sep#pos#sep#O
#sep#people#sep#pos#sep#O
#sep#did#sep#pos#sep#O
#sep#n't#sep#pos#sep#O
#sep#understand#sep#pos#sep#O
#sep#what#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#song#sep#pos#sep#O
#sep#was#sep#pos#sep#O
#sep#about#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 5#sep#it#sep#pos#sep#O
#sep#was#sep#pos#sep#O
#sep#later#sep#pos#sep#O
#sep#explained#sep#pos#sep#O
#sep#that#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#song#sep#pos#sep#O
#sep#was#sep#pos#sep#O
#sep#about#sep#pos#sep#O
#sep#Cannabis#sep#pos#sep#I-MISC
#sep#(#sep#pos#sep#O
#sep#'#sep#pos#sep#O
#sep#can#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#this#sep#pos#sep#O
#sep#'#sep#pos#sep#O
#sep#sounding#sep#pos#sep#O
#sep#like#sep#pos#sep#O
#sep#Cannabis#sep#pos#sep#I-MISC
#sep#when#sep#pos#sep#O
#sep#said#sep#pos#sep#O
#sep#faster#sep#pos#sep#O
#sep#)#sep#pos#sep#O
#sep#it#sep#pos#sep#O
#sep#is#sep#pos#sep#O
#sep#uncertain#sep#pos#sep#O
#sep#if#sep#pos#sep#O
#sep#they#sep#pos#sep#O
#sep#were#sep#pos#sep#O
#sep#told#sep#pos#sep#O
#sep#to#sep#pos#sep#O
#sep#change#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#lyric#sep#pos#sep#O
#sep#like#sep#pos#sep#O
#sep#they#sep#pos#sep#O
#sep#did#sep#pos#sep#O
#sep#on#sep#pos#sep#O
#sep#P.O.P#sep#pos#sep#I-MISC
#sep#and#sep#pos#sep#O
#sep#HUMANITY#sep#pos#sep#I-MISC
#sep#.#sep#pos#sep#O
Sentence: 6#sep#UK#sep#pos#sep#I-LOC
#sep#Edition#sep#pos#sep#O
#sep#came#sep#pos#sep#O
#sep#with#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#OSC-DIS#sep#pos#sep#I-MISC
#sep#video#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#and#sep#pos#sep#O
#sep#most#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#tracks#sep#pos#sep#O
#sep#were#sep#pos#sep#O
#sep#re-engineered#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 7#sep#The#sep#pos#sep#O
#sep#139th#sep#pos#sep#I-ORG
#sep#was#sep#pos#sep#O
#sep#formed#sep#pos#sep#O
#sep#at#sep#pos#sep#O
#sep#Camp#sep#pos#sep#I-LOC
#sep#Howe#sep#pos#sep#I-LOC
#sep#,#sep#pos#sep#O
#sep#near#sep#pos#sep#O
#sep#Pittsburgh#sep#pos#sep#I-LOC
#sep#,#sep#pos#sep#O
#sep#on#sep#pos#sep#O
#sep#September#sep#pos#sep#O
#sep#1#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#1862#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 8#sep#Frederick#sep#pos#sep#I-PER
#sep#H.#sep#pos#sep#I-PER
#sep#Collier#sep#pos#sep#I-PER
#sep#was#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#first#sep#pos#sep#O
#sep#colonel#sep#pos#sep#O
#sep#.#sep#pos#sep#O
Sentence: 9#sep#After#sep#pos#sep#O
#sep#burying#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#dead#sep#pos#sep#O
#sep#on#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#field#sep#pos#sep#O
#sep#of#sep#pos#sep#O
#sep#Second#sep#pos#sep#I-MISC
#sep#Battle#sep#pos#sep#I-MISC
#sep#of#sep#pos#sep#I-MISC
#sep#Bull#sep#pos#sep#I-MISC
#sep#Run#sep#pos#sep#I-MISC
#sep#,#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#regiment#sep#pos#sep#O
#sep#was#sep#pos#sep#O
#sep#attached#sep#pos#sep#O
#sep#to#sep#pos#sep#O
#sep#Howe#sep#pos#sep#I-ORG
#sep#'s#sep#pos#sep#I-ORG
#sep#Brigade#sep#pos#sep#I-ORG
#sep#of#sep#pos#sep#O
#sep#Couch#sep#pos#sep#I-ORG
#sep#'s#sep#pos#sep#I-ORG
#sep#Division#sep#pos#sep#I-ORG
#sep#of#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#IV#sep#pos#sep#I-ORG
#sep#Corps#sep#pos#sep#I-ORG
#sep#of#sep#pos#sep#O
#sep#the#sep#pos#sep#O
#sep#Army#sep#pos#sep#I-ORG
#sep#of#sep#pos#sep#I-ORG
#sep#the#sep#pos#sep#I-ORG
#sep#Potomac#sep#pos#sep#I-ORG
#sep#where#sep#pos#sep#O
#sep#it#sep#pos#sep#O
#sep#replaced#sep#pos#sep#O
#sep#De#sep#pos#sep#I-ORG
#sep#Trobriand#sep#pos#sep#I-ORG
#sep#'s#sep#pos#sep#I-ORG
#sep#55th#sep#pos#sep#I-ORG
#sep#New#sep#pos#sep#I-ORG
#sep#York#sep#pos#sep#I-ORG
#sep#,#sep#pos#sep#O
#sep#Gardes#sep#pos#sep#I-ORG
#sep#Lafayette#sep#pos#sep#I-ORG
#sep#regiment#sep#pos#sep#O
#sep#on#sep#pos#sep#O
#sep#September#sep#pos#sep#O
#sep#11#sep#pos#sep#O
#sep#,#sep#pos#sep#O
#sep#1862#sep#pos#sep#O
